publication_title,publication_doi,publication_journal_issn,num_cited_references
"Return of Topeka Shiner (Notropis topeka) to Restored Oxbows in the White Fox Creek Watershed, Iowa, USA",https://doi.org/10.17833/0896-8381-128.1.3,0896-8381,0
Editorial: Functional Annotation of Animal Genomes,https://doi.org/10.3389/fgene.2021.768626,1664-8021,0
Site and Bioenergy Cropping System Similarly Affect Distinct Live and Total Soil Microbial Communities,https://doi.org/10.3389/fmicb.2021.725756,1664-302X,97
Crypto-Aided MAP Test for Low-Latency Detection of False Data in Short Packets,https://doi.org/10.1109/tifs.2021.3118887,1556-6013,0
Rapid changes in agricultural land use and hydrology in the Driftless Region,https://doi.org/10.1002/agg2.20214,2639-6696,23
Variation in degree of pollen exclusion for ga1‐s unilateral cross incompatibility in temperate maize breeding populations,https://doi.org/10.1002/agg2.20220,2639-6696,16
On extended commuting operators,https://doi.org/10.2298/fil2103883j,0354-5180,0
Long Short-term Memory Neural Network-based System Identification and Augmented Predictive Control of Piezoelectric Actuators for Precise Trajectory Tracking,https://doi.org/10.1016/j.ifacol.2021.11.150,2405-8963,23
Thermal Gradient Strategy to Improve Early Cycling Performance in Anode-Free Li-Metal Batteries,https://doi.org/10.2139/ssrn.3986496,1556-5068,0
eLegalls: Legal Informatics-enabled Legal Tech to Aid Lawyering,https://doi.org/10.2139/ssrn.3991271,1556-5068,0
A Multifactor Perspective on Volatility-Managed Portfolios,https://doi.org/10.2139/ssrn.3982504,1556-5068,0
Field Evaluation of Sustainable High Rap Asphalt Mixtures Containing Rejuvenators,https://doi.org/10.2139/ssrn.3992686,1556-5068,0
Mechanically Strengthened Heterogeneous Sm-Co Sintered Magnets,https://doi.org/10.2139/ssrn.3967376,1556-5068,0
Spatial Equilibria: The Case of Two Regions,https://doi.org/10.2139/ssrn.3988698,1556-5068,0
A Microfluidic Chip for Growth and Characterization of Adult Rat Hippocampal Progenitor Cell Neurospheroids,https://doi.org/10.1109/jmems.2021.3134632,1057-7157,0
Analysis of the Directivity of Longitudinal Waves Based on Double-Fold Coil Emat Phased Array,https://doi.org/10.2139/ssrn.3963802,1556-5068,0
Band Alignment of Ultrawide Bandgap ε -Ga <sub>2</sub>O <sub>3</sub>/H-BCN Heterojunction Epitaxially Grown by Metalorganic Chemical Vapor Deposition,https://doi.org/10.2139/ssrn.3983681,1556-5068,0
Mechanical Properties and Piezoresistive Performance of Intrinsic Cement-Based Sensors Subjected to Impact Load,https://doi.org/10.2139/ssrn.3976085,1556-5068,0
Design Space of Delta-Doped β -(AlₓGa₁₋ₓ)₂O₃/Ga₂O₃ High-Electron Mobility Transistors,https://doi.org/10.1109/ted.2021.3131115,0018-9383,0
Corrigendum: The Influence of Moderate Physical Activity on Brain Monoaminergic Responses to Binge-Patterned Alcohol Ingestion in Female Mice,https://doi.org/10.3389/fnbeh.2021.780189,1662-5153,0
Rna Chain Length and Stoichiometry Govern Surface Tension and Stability of Protein-RNA Condensates,https://doi.org/10.2139/ssrn.3987485,1556-5068,0
Development of a Data-Assimilation System to Forecast Agricultural Systems: A Case Study of Constraining Soil Water and Soil Nitrogen Dynamics in the Apsim Model,https://doi.org/10.2139/ssrn.3967423,1556-5068,0
Does Education Enhance Entrepreneurship?,https://doi.org/10.2139/ssrn.3908870,1556-5068,0
"6FDA-DABA Polyimide – Poly(Phenylene) Homopolymer and Copolymer Synthesis, Block Compatibility, FFV, Physical Properties, X-Ray Scattering, Gas Separation Performance, and Modeled Gas Transport",https://doi.org/10.2139/ssrn.3986120,1556-5068,0
A Numerical Hand-Glove/Mitten Model for Predicting Thermophysiological Responses of the Human Hand in Various Cold Environments,https://doi.org/10.2139/ssrn.3993070,1556-5068,0
Fundamental Anomalies,https://doi.org/10.2139/ssrn.3783526,1556-5068,40
Integration of Report-Based Methods to Enhance the Interpretation of Monitor-Based Research: Results From the Free-Living Activity Study for Health Project,https://doi.org/10.1123/jmpb.2021-0029,2575-6605,0
Laser Powder Bed Fusion Additive Manufacturing of Oxide Dispersion Strengthened Steel Using Gas Atomized Reaction Synthesis Powder,https://doi.org/10.2139/ssrn.3985835,1556-5068,0
Additives Improved Saprotrophic Fungi&nbsp;For&nbsp;Formation of Humic Acids in Chicken Manure and Corn Stover Mix Composting,https://doi.org/10.2139/ssrn.3957279,1556-5068,0
Effect of Pooling Family Oral Fluids on the Probability of PRRSV RNA Detection by RT-rtPCR,https://doi.org/10.2139/ssrn.3949336,1556-5068,0
